user_id,total_events,views,carts,purchases,unique_sessions,categories_browsed,brands_browsed,view_to_purchase_ratio,cart_to_purchase_ratio,events_per_session,purchase_conversion_rate,total_spend,avg_spend,spend_std,min_spend,max_spend,purchase_count,spend_range,spend_consistency,spending_per_day,avg_session_duration,total_session_time,max_session_duration,session_count,avg_events_per_session,total_revenue,avg_transaction,total_transactions,event_types_used,categories_purchased,brands_purchased,cluster,cluster_name,cluster_profile
518707082.0,3,3,0,0,1,1,1,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6166666666666667,0.6166666666666667,0.6166666666666667,1,3.0,187.56,62.52,3,1,1,1,2,Budget_Browsers,"Price-sensitive, largest segment"
518721540.0,2,2,0,0,1,1,1,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11666666666666667,0.11666666666666667,0.11666666666666667,1,2.0,102.44,51.22,2,1,1,1,3,Category_Explorers,"Most diverse, high engagement"
518733223.0,15,15,0,0,1,2,3,15.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.65,12.65,12.65,1,15.0,2841.65,189.44333333333333,15,1,2,3,2,Budget_Browsers,"Price-sensitive, largest segment"
518750817.0,1,1,0,0,1,1,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,617.52,617.52,1,1,1,1,1,Premium_Customers,"Highest spending, premium buyers"
518768461.0,3,3,0,0,1,1,1,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7666666666666667,0.7666666666666667,0.7666666666666667,1,3.0,87.43,29.143333333333334,3,1,1,1,2,Budget_Browsers,"Price-sensitive, largest segment"
518780152.0,4,4,0,0,2,1,4,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5833333333333333,3.1666666666666665,3.1666666666666665,2,2.0,162.6,40.65,4,1,1,4,2,Budget_Browsers,"Price-sensitive, largest segment"
518782633.0,1,1,0,0,1,1,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,185.31,185.31,1,1,1,1,2,Budget_Browsers,"Price-sensitive, largest segment"
518784198.0,2,2,0,0,1,1,2,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.45,0.45,1,2.0,176.8,88.4,2,1,1,2,2,Budget_Browsers,"Price-sensitive, largest segment"
518787501.0,8,8,0,0,2,1,1,8.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.299999999999999,18.599999999999998,16.466666666666665,2,4.0,3900.06,487.5075,8,1,1,1,1,Premium_Customers,"Highest spending, premium buyers"
518790644.0,1,1,0,0,1,1,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,130.62,130.62,1,1,1,1,0,Efficient_Buyers,"High conversion, moderate spending"
