user_id,cluster,cluster_name,cluster_profile,total_spend,avg_spend,purchase_count,unique_sessions,categories_purchased,brands_purchased,cart_to_purchase_ratio,view_to_purchase_ratio
539614043.0,3,Category_Explorers,"Most diverse, high engagement",0.0,0.0,0.0,1,1,1,0.0,2.0
539620652.0,1,Premium_Customers,"Highest spending, premium buyers",0.0,0.0,0.0,1,1,1,0.0,3.0
539679010.0,1,Premium_Customers,"Highest spending, premium buyers",0.0,0.0,0.0,1,1,3,0.0,7.0
539861866.0,0,Efficient_Buyers,"High conversion, moderate spending",0.0,0.0,0.0,1,1,1,0.0,2.0
539862218.0,2,Budget_Browsers,"Price-sensitive, largest segment",0.0,0.0,0.0,1,1,1,0.0,1.0
539866341.0,3,Category_Explorers,"Most diverse, high engagement",0.0,0.0,0.0,1,1,2,0.0,3.0
539881362.0,3,Category_Explorers,"Most diverse, high engagement",0.0,0.0,0.0,1,1,1,0.0,2.0
539893055.0,3,Category_Explorers,"Most diverse, high engagement",0.0,0.0,0.0,1,1,1,0.0,1.0
539907980.0,1,Premium_Customers,"Highest spending, premium buyers",0.0,0.0,0.0,1,1,2,0.0,2.0
539938989.0,0,Efficient_Buyers,"High conversion, moderate spending",0.0,0.0,0.0,1,1,1,0.0,1.0
539979421.0,2,Budget_Browsers,"Price-sensitive, largest segment",0.0,0.0,0.0,1,1,3,0.0,3.0
540148826.0,0,Efficient_Buyers,"High conversion, moderate spending",0.0,0.0,0.0,1,1,1,0.0,1.0
540156659.0,1,Premium_Customers,"Highest spending, premium buyers",0.0,0.0,0.0,1,1,1,0.0,1.0
540223640.0,2,Budget_Browsers,"Price-sensitive, largest segment",0.0,0.0,0.0,1,1,3,0.0,5.0
540225101.0,0,Efficient_Buyers,"High conversion, moderate spending",0.0,0.0,0.0,1,1,1,0.0,2.0
540272690.0,2,Budget_Browsers,"Price-sensitive, largest segment",0.0,0.0,0.0,1,1,1,0.0,1.0
540278070.0,3,Category_Explorers,"Most diverse, high engagement",0.0,0.0,0.0,1,2,3,0.0,7.0
